LEMMA	STEM	TAG
spend	spend	VIRG
accept	accept	NREG
accept	accept	VREG
strength	strength	NREG
prevent	prev	NREG
prevent	prev	VREG
brother	broth	NREG
brother	broth	VREG
gentleman	gentlem	NREG
shadow	shadow	NREG
shadow	shadow	VREG
garden	gard	NREG
garden	gard	VREG
sister	sist	NREG
sister	sist	VREG
surface	fac	NREG
rich	rich	AREG
rich	rich	NREG
friendship	friend	NREG
silent	sil	AREG
silent	sil	NREG
forget	forget	VIRG
soul	soul	NREG
doubtless	doubt	AIRG
stranger	strang	AREG
stranger	strang	NREG
stranger	strang	VREG
thank	thank	NREG
thank	thank	VREG
guy	guy	NREG
breath	breath	NREG
breath	breath	VREG
calm	calm	AREG
calm	calm	NREG
calm	calm	VREG
purpose	purpos	NREG
spring	spr	NREG
spring	spr	VREG
easily	eas	ADV
top	top	NREG
top	top	VREG
material	mater	NREG
immediately	mediat	ADV
strong	strong	AREG
opinion	opin	NREG
notice	notic	NREG
box	box	NREG
box	box	VREG
blood	blood	NREG
blood	blood	VREG
express	expr	NREG
express	expr	VREG
ring	ring	VIRG
detail	tail	NREG
detail	tail	VREG
length	length	NREG
example	ampl	NREG
easy	easy	NREG
listen	list	NREG
listen	list	VREG
france	franc	NREG
class	class	NREG
class	class	VREG
early	ear	ADV
middle	middl	NREG
bound	bound	NREG
bound	bound	VREG
discover	cov	NREG
discover	cov	VREG
darkness	darkn	NREG
friendly	friend	NREG
friendly	friend	ADV
duty	duty	NREG
station	stat	NREG
station	stat	VREG
field	field	NREG
field	field	VREG
throw	throw	VIRG
glad	glad	NREG
glad	glad	VREG
wear	wear	VIRG
blow	blow	VIRG
private	privat	AREG
private	privat	NREG
curiosity	curios	NREG
land	land	NREG
land	land	VREG
clean	cle	AREG
clean	cle	NREG
clean	cle	VREG
opportunity	opportun	NREG
pocket	pocket	NREG
pocket	pocket	VREG
pick	pick	NREG
pick	pick	VREG
metal	met	NREG
metal	met	VREG
creature	creat	NREG
virtue	virtu	NREG
rise	rise	VIRG
sentiment	sentim	NREG
familiar	familiar	NREG
physical	phys	NREG
type	typ	NREG
bore	bor	NREG
excuse	excus	NREG
emotion	emot	NREG
weather	weath	NREG
weather	weath	VREG
shape	shap	NREG
distant	dist	AIRG
distant	dist	NREG
mere	mer	AREG
mere	mer	NREG
system	system	NREG
report	port	NREG
report	port	VREG
fell	fell	AREG
fell	fell	NREG
fell	fell	VREG
barely	bar	ADV
gold	gold	AREG
gold	gold	NREG
greater	great	AREG
reach	ach	NREG
reach	ach	VREG
issue	issu	NREG
choose	choose	VIRG
attempt	attempt	NREG
attempt	attempt	VREG
low	low	AREG
low	low	NREG
low	low	VREG
mistake	tak	NREG
false	fals	AREG
hot	hot	NREG
hot	hot	VREG
alive	liv	NREG
staff	staff	NREG
staff	staff	VREG
advantage	advant	NREG
satisfaction	satisfact	NREG
interval	interv	NREG
interval	interv	VREG
uncle	uncl	NREG
direction	rect	NREG
vinteuil	vinteuil	NREG
quickly	quick	ADV
pair	pair	NREG
pair	pair	VREG
madame	madam	NREG
altogether	altogeth	NREG
altogether	altogeth	AREG
surprise	pris	NREG
warm	warm	AREG
warm	warm	NREG
warm	warm	VREG
history	hist	NREG
lead	lead	VIRG
utter	ut	NREG
utter	ut	VREG
race	rac	NREG
hall	hall	NREG
dagny	dagn	AIRG
summer	sum	NREG
summer	sum	VREG
conscious	consc	AIRG
level	level	NREG
level	level	VREG
mention	ment	NREG
mention	ment	VREG
american	americ	NREG
marriage	marr	NREG
luncheon	luncheon	NREG
talent	tal	NREG
talent	tal	VREG
possibility	possibil	NREG
youth	youth	NREG
presently	present	ADV
extent	ext	NREG
daily	daily	NREG
title	titl	NREG
cast	cast	NREG
cast	cast	VREG
brain	brain	NREG
brain	brain	VREG
attitude	att	NREG
fair	fair	AREG
fair	fair	NREG
fair	fair	VREG
weight	weight	NREG
weight	weight	VREG
terrible	ter	NREG
admit	admit	NREG
admit	admit	VREG
writer	writ	NREG
consider	sid	NREG
consider	sid	VREG
highly	high	ADV
beach	ach	NREG
beach	ach	VREG
minute	minut	AREG
minute	minut	NREG
anxiety	anxi	NREG
final	fin	NREG
incapable	cap	AIRG
acquaintance	acquaint	NREG
deep	deep	AREG
deep	deep	NREG
french	french	NREG
french	french	VREG
crowd	crowd	NREG
crowd	crowd	VREG
vague	vag	AREG
original	origin	NREG
regret	gret	NREG
regret	gret	VREG
pleasant	pleas	AREG
pleasant	pleas	NREG
drive	drive	VIRG
escape	escap	NREG
enjoy	joy	NREG
indifference	ffer	NREG
school	school	NREG
school	school	VREG
tiny	tin	AIRG
mirror	mir	NREG
mirror	mir	VREG
gentle	gentl	AREG
gentle	gentl	NREG
die	die	NREG
die	die	VREG
intelligent	intellig	AIRG
intelligent	intellig	NREG
sorrow	sorrow	NREG
sorrow	sorrow	VREG
job	job	NREG
job	job	VREG
individual	vid	NREG
evil	evil	AREG
evil	evil	NREG
north	north	AREG
north	north	NREG
message	mes	NREG
aspect	spect	NREG
genius	genius	NREG
theatre	theatr	NREG
enter	ent	NREG
enter	ent	VREG
greatly	great	ADV
newspaper	newspap	NREG
pure	pur	AREG
neck	neck	NREG
neck	neck	VREG
century	cent	NREG
pink	pink	AREG
pink	pink	NREG
pink	pink	VREG
precious	cious	NREG
pity	pit	NREG
pity	pit	VREG
drop	drop	NREG
drop	drop	VREG
invitation	invit	NREG
noble	nobl	AREG
noble	nobl	NREG
stick	stick	NREG
stick	stick	VREG
hardly	hard	ADV
roll	roll	NREG
roll	roll	VREG
square	squar	AREG
square	squar	NREG
vain	vain	AREG
intellectual	intellect	NREG
professor	profes	NREG
admiration	admir	NREG
suspicion	suspic	NREG
suspicion	suspic	VREG
lover	lov	NREG
lover	lov	VREG
mamma	mamm	NREG
incident	incid	NREG
rate	rat	NREG
self	self	NREG
self	self	VREG
pride	prid	NREG
continue	continu	NREG
bell	bell	NREG
bell	bell	VREG
mysterious	myster	AIRG
soft	soft	AREG
soft	soft	NREG
journey	journey	NREG
mulligan	mullig	NREG
coat	coat	NREG
coat	coat	VREG
sweet	sweet	AREG
sweet	sweet	NREG
support	support	NREG
support	support	VREG
profound	found	AREG
profound	found	NREG
path	path	NREG
choice	choic	AREG
choice	choic	NREG
cover	cov	NREG
cover	cov	VREG
hit	hit	VIRG
information	form	NREG
tea	tea	NREG
control	trol	NREG
control	trol	VREG
perfectly	perfect	ADV
tall	tall	AREG
wing	wing	NREG
wing	wing	VREG
perfect	perfect	AREG
perfect	perfect	NREG
perfect	perfect	VREG
blind	blind	AREG
blind	blind	NREG
blind	blind	VREG
influence	flu	NREG
slow	slow	AREG
slow	slow	NREG
slow	slow	VREG
passage	pas	NREG
dog	dog	NREG
dog	dog	VREG
gradually	grad	ADV
risk	risk	NREG
risk	risk	VREG
cousin	cousin	NREG
style	styl	NREG
vision	vis	NREG
vision	vis	VREG
artist	art	NREG
health	health	NREG
article	articl	NREG
spread	spread	NREG
spread	spread	VREG
tennis	tennis	NREG
eat	eat	VIRG
display	play	NREG
lean	lean	AREG
lean	lean	NREG
lean	lean	VREG
rare	rar	AREG
aside	sid	NREG
judge	judg	NREG
burst	burst	NREG
burst	burst	VREG
huge	hug	AREG
difficulty	difficul	NREG
band	band	NREG
band	band	VREG
kitchen	kitchen	NREG
invisible	vis	AIRG
broke	brok	NREG
break	break	VIRG
