LEMMA,cnt,STEM,TAG
nice,228,nic,AREG
distance,228,dist,NREG
jealousy,228,jealousy,NREG
princesse,228,princess,NREG
court,228,court,NREG VREG
foot,227,foot,NIRG
knowledge,227,knowledg,
struck,226,struck,
slightly,226,slight,ADV
boy,224,boy,NREG
wind,224,wind,NREG VREG
character,223,charact,NREG VREG
bergotte,223,bergott,NREG
lie,222,lie,VIRG
straight,222,straight,AREG NREG VREG
wrong,222,wrong,AREG NREG VREG
sought,221,sought,
wonder,221,wond,NREG VREG
imagination,221,imagin,NREG
empty,220,emp,NREG VREG
couple,220,coupl,NREG
sign,220,sign,NREG VREG
personal,220,person,NREG
fire,219,fir,NREG
food,219,food,NREG
figure,219,fig,NREG
intelligence,219,intellig,NREG
page,218,pag,NREG
mile,218,mil,NREG
ground,217,ground,NREG VREG
stage,217,stag,NREG
game,217,gam,AREG NREG
occasion,217,occas,NREG VREG
ball,216,ball,NREG VREG
children,216,children,NIRG
movement,216,movem,NREG
follow,215,follow,NREG VREG
space,215,spac,NREG
further,215,further,AIRG
instant,215,inst,NREG
exist,215,ist,NREG VREG
phrase,214,phras,NREG
simple,214,simpl,AREG NREG
save,213,sav,NREG
deal,213,deal,NREG
add,212,add,NREG VREG
servant,211,serv,NREG
possibly,210,possib,ADV
spite,209,spit,NREG
capable,209,capabl,AREG
shut,208,shut,VIRG
elstir,208,elstir,NREG
serious,207,ser,AIRG
daughter,207,daught,NREG
seek,206,seek,NREG
city,206,city,NREG
extremely,205,trem,ADV
exactly,204,exact,ADV
difference,204,dif,NREG
expect,204,expect,NREG VREG
ly,204,ly,NREG VREG
painful,204,pain,AIRG
moral,203,mor,NREG
king,203,king,NREG VREG
lord,203,lord,NREG VREG
circle,203,circl,NREG
language,202,lang,NREG
latter,202,latt,NREG AREG
address,202,addr,NREG VREG
spend,202,spend,VIRG
accept,202,accept,NREG VREG
strength,202,strength,NREG
apart,201,part,
prevent,200,prev,NREG VREG
brother,200,broth,NREG VREG
gentleman,200,gentlem,NREG
shadow,200,shadow,NREG VREG
garden,200,gard,NREG VREG
sister,200,sist,NREG VREG
surface,199,fac,NREG
rich,198,rich,AREG NREG
friendship,198,friend,NREG
silent,198,sil,AREG NREG
forget,198,forget,VIRG
soul,197,soul,NREG
doubtless,197,doubt,AIRG
marathe,197,marath,
stranger,196,strang,AREG NREG VREG
thank,196,thank,NREG VREG
guy,195,guy,NREG
breath,195,breath,NREG VREG
calm,195,calm,AREG NREG VREG
purpose,195,purpos,NREG
spring,194,spr,NREG VREG
easily,194,eas,ADV
top,194,top,NREG VREG
material,193,mater,NREG
immediately,193,mediat,ADV
strong,192,strong,AREG
opinion,190,opin,NREG
notice,190,notic,NREG
box,188,box,NREG VREG
blood,188,blood,NREG VREG
maybe,188,mayb,
express,187,expr,NREG VREG
ring,187,ring,VIRG
detail,187,tail,NREG VREG
length,187,length,NREG
example,187,ampl,NREG
easy,187,easy,NREG
listen,186,list,NREG VREG
france,186,franc,NREG
orin,186,orin,
class,185,class,NREG VREG
early,185,ear,ADV
middle,184,middl,NREG
bound,184,bound,NREG VREG
discover,183,cov,NREG VREG
darkness,183,darkn,NREG
friendly,182,friend,NREG ADV
duty,182,duty,NREG
aware,181,war,
station,181,stat,NREG VREG
field,181,field,NREG VREG
throw,181,throw,VIRG
